W,Q2,Sigma_t,Sigma_l
1.41,0.15,94.5771,36.4138
1.42,0.15,94.8476,34.7523
1.43,0.15,95.8602,33.4569
1.44,0.15,97.7785,32.6633
1.45,0.15,100.623,32.1595
1.46,0.15,104.657,32.1021
1.47,0.15,109.989,32.5258
1.48,0.15,116.349,33.2895
1.49,0.15,116.48,34.567
1.5,0.15,113.807,36.3638
1.51,0.15,109.466,37.9107
1.52,0.15,102.088,38.7039
1.53,0.15,92.684,38.389
1.54,0.15,83.4219,37.3119
1.55,0.15,76.0366,35.5039
1.56,0.15,71.115,33.4511
1.57,0.15,68.6251,31.2778
1.58,0.15,67.9729,29.2599
1.59,0.15,68.591,27.4892
1.6,0.15,69.7629,25.9859
1.61,0.15,71.3897,24.8721
1.62,0.15,73.349,24.0125
1.63,0.15,75.6973,23.6641
1.64,0.15,77.8949,23.5762
1.65,0.15,79.2276,23.5892
1.66,0.15,78.7474,23.618
1.67,0.15,76.0661,23.4538
1.68,0.15,71.3994,23.1091
1.69,0.15,65.3265,22.6272
1.7,0.15,58.5985,21.9472
1.71,0.15,51.9011,21.2592
1.72,0.15,45.7902,20.5407
1.73,0.15,40.4828,19.9093
1.74,0.15,36.0498,19.2989
1.75,0.15,32.382,18.6655
1.76,0.15,29.3395,18.1114
1.77,0.15,26.8609,17.5936
1.78,0.15,24.8379,17.0283
1.79,0.15,23.1701,16.4988
1.8,0.15,21.772,15.9606
1.81,0.15,20.6025,15.4174
1.82,0.15,19.6329,14.8769
1.83,0.15,18.8045,14.3317
1.84,0.15,18.081,13.8456
1.85,0.15,17.4738,13.3328
1.86,0.15,16.9662,12.853
1.87,0.15,16.487,12.3848
1.88,0.15,16.0757,11.9609
1.89,0.15,15.6861,11.5655
1.9,0.15,15.3004,11.212
1.91,0.15,14.9767,10.8811
1.92,0.15,14.5989,10.5504
1.93,0.15,14.2502,10.268
1.94,0.15,13.9164,10.003
1.95,0.15,13.5676,9.76465
1.96,0.15,13.253,9.50642
1.97,0.15,12.9521,9.26675
1.98,0.15,12.6497,9.03876
1.99,0.15,12.4218,8.82413
2,0.15,12.1976,8.62185
1.08,0.2,14.1767,2.7566
1.09,0.2,50.676,15.461
1.1,0.2,70.8022,27.0061
1.11,0.2,87.3624,37.7097
1.12,0.2,103.141,47.4369
1.13,0.2,119.831,56.2595
1.14,0.2,139.057,64.1449
1.15,0.2,162.495,71.1592
1.16,0.2,191.837,77.3663
1.17,0.2,228.523,82.5121
1.18,0.2,271.57,86.1325
1.19,0.2,315.782,87.5283
1.2,0.2,349.859,86.1891
1.21,0.2,361.505,82.3565
1.22,0.2,347.152,77.2436
1.23,0.2,314.868,72.5501
1.24,0.2,276.307,69.047
1.25,0.2,239.746,66.6582
1.26,0.2,208.463,65.2802
1.27,0.2,182.961,64.415
1.28,0.2,162.469,63.7795
1.29,0.2,146.152,63.2343
1.3,0.2,133.013,62.3819
1.31,0.2,122.382,61.2348
1.32,0.2,113.677,59.8653
1.33,0.2,106.605,57.9443
1.34,0.2,100.79,55.6862
1.35,0.2,96.0711,52.9298
1.36,0.2,92.3477,49.8667
